_id,MisparMitham,Yeshuv,SemelYeshuv,ShemMitcham,YachadKayam,YachadTosafti,YachadMutza,TaarichHachraza,MisparTochnit,KishurLatar,SachHeterim,KishurLaMapa,Maslul,ShnatMatanTokef,Bebitzua,Status,source_name,source_url,source_type,original_resource_id,original_file_path,original_row_index,ingestion_timestamp,detected_relevance_reason,מפתח לפוליגון תכנית,מספר תוכנית,שם תוכנית,שלב תכנוני,יזם תכנון,סמל יישוב,יישוב,תאריך קיום תנאי סף,תאריך פרסום להפקדה ברשומות,תאריך פרסום לאישור ברשומות,קישור לאתר רשות מקרקעי ישראל,קישור לאתר מנהל תכנון,יחד פוטנציאל לשיווק
1,4001.0,גבעתים                                                                                                                                                                                                                                                         ,6300.0,ערבי נחל                                                                                                                                                                                                                                                       ,126,108,530.0,20/08/2006,גב/490                                                                                                                                                                                                                                                         ,https://mavat.iplan.gov.il/SV4/1/5073314/310                                                                                                                                                                                                                   ,530,https://www.govmap.gov.il/map.html?lay=ADD_PROJECTS_UR_MUCHRAZ&bs=moch_projects|MISPARPROJECT~4001                                                                                                                                                             ,מיסוי                                                                                                                                                                                                                                                          ,2012                                                                                                                                                                                                                                                           ,לא                                                                                                                                                                                                                                                             ,תכנית מאושרת -  אחרי רישוי                                                                                                                                                                                                                                     ,data.gov.il - מתחמי התחדשות עירונית,https://data.gov.il/he/datasets/ministry_of_housing/urban_renewal/f65a0daf-f737-49c5-9424-d378d52104f5,government_open_data_resource,f65a0daf-f737-49c5-9424-d378d52104f5,data\raw\data_gov_f65a0daf-f737-49c5-9424-d378d52104f5_records.csv,0,2026-05-27T16:09:42,Known official data.gov.il urban renewal resource,,,,,,,,,,,,,
2,4005.0,קרית אונו                                                                                                                                                                                                                                                      ,2620.0,ישעיהו                                                                                                                                                                                                                                                         ,198,198,396.0,20/08/2006,תממ/284                                                                                                                                                                                                                                                        ,https://mavat.iplan.gov.il/SV4/1/5048159/310                                                                                                                                                                                                                   ,228,https://www.govmap.gov.il/map.html?lay=ADD_PROJECTS_UR_MUCHRAZ&bs=moch_projects|MISPARPROJECT~4005                                                                                                                                                             ,מיסוי                                                                                                                                                                                                                                                          ,1998                                                                                                                                                                                                                                                           ,כן                                                                                                                                                                                                                                                             ,תכנית מאושרת במימוש                                                                                                                                                                                                                                            ,data.gov.il - מתחמי התחדשות עירונית,https://data.gov.il/he/datasets/ministry_of_housing/urban_renewal/f65a0daf-f737-49c5-9424-d378d52104f5,government_open_data_resource,f65a0daf-f737-49c5-9424-d378d52104f5,data\raw\data_gov_f65a0daf-f737-49c5-9424-d378d52104f5_records.csv,1,2026-05-27T16:09:42,Known official data.gov.il urban renewal resource,,,,,,,,,,,,,
3,4006.0,קרית אונו                                                                                                                                                                                                                                                      ,2620.0,שאול המלך                                                                                                                                                                                                                                                      ,180,48,531.0,27/05/2004,קא/מק/61/285/א                                                                                                                                                                                                                                                 ,https://mavat.iplan.gov.il/SV4/1/5052333/310                                                                                                                                                                                                                   ,531,https://www.govmap.gov.il/map.html?lay=ADD_PROJECTS_UR_MUCHRAZ&bs=moch_projects|MISPARPROJECT~4006                                                                                                                                                             ,מיסוי                                                                                                                                                                                                                                                          ,2003                                                                                                                                                                                                                                                           ,לא                                                                                                                                                                                                                                                             ,תכנית מאושרת -  אחרי רישוי                                                                                                                                                                                                                                     ,data.gov.il - מתחמי התחדשות עירונית,https://data.gov.il/he/datasets/ministry_of_housing/urban_renewal/f65a0daf-f737-49c5-9424-d378d52104f5,government_open_data_resource,f65a0daf-f737-49c5-9424-d378d52104f5,data\raw\data_gov_f65a0daf-f737-49c5-9424-d378d52104f5_records.csv,2,2026-05-27T16:09:42,Known official data.gov.il urban renewal resource,,,,,,,,,,,,,
4,4010.0,ראשון לציון                                                                                                                                                                                                                                                    ,8300.0,רמת אליהו (פוזננסקי)                                                                                                                                                                                                                                           ,58,232,290.0,29/06/2017,413-0292680                                                                                                                                                                                                                                                    ,https://mavat.iplan.gov.il/SV4/1/4000346997/310                                                                                                                                                                                                                ,116,https://www.govmap.gov.il/map.html?lay=ADD_PROJECTS_UR_MUCHRAZ&bs=moch_projects|MISPARPROJECT~4010                                                                                                                                                             ,מיסוי                                                                                                                                                                                                                                                          ,2014                                                                                                                                                                                                                                                           ,כן                                                                                                                                                                                                                                                             ,תכנית מאושרת במימוש                                                                                                                                                                                                                                            ,data.gov.il - מתחמי התחדשות עירונית,https://data.gov.il/he/datasets/ministry_of_housing/urban_renewal/f65a0daf-f737-49c5-9424-d378d52104f5,government_open_data_resource,f65a0daf-f737-49c5-9424-d378d52104f5,data\raw\data_gov_f65a0daf-f737-49c5-9424-d378d52104f5_records.csv,3,2026-05-27T16:09:42,Known official data.gov.il urban renewal resource,,,,,,,,,,,,,
5,4011.0,ראשון לציון                                                                                                                                                                                                                                                    ,8300.0,סלע                                                                                                                                                                                                                                                            ,283,0,1386.0,09/02/2012,רצ/מק/1/13/19/4                                                                                                                                                                                                                                                ,https://mavat.iplan.gov.il/SV4/1/4097824/310                                                                                                                                                                                                                   ,676,https://www.govmap.gov.il/map.html?lay=ADD_PROJECTS_UR_MUCHRAZ&bs=moch_projects|MISPARPROJECT~4011                                                                                                                                                             ,מיסוי                                                                                                                                                                                                                                                          ,2009                                                                                                                                                                                                                                                           ,כן                                                                                                                                                                                                                                                             ,תכנית מאושרת במימוש                                                                                                                                                                                                                                            ,data.gov.il - מתחמי התחדשות עירונית,https://data.gov.il/he/datasets/ministry_of_housing/urban_renewal/f65a0daf-f737-49c5-9424-d378d52104f5,government_open_data_resource,f65a0daf-f737-49c5-9424-d378d52104f5,data\raw\data_gov_f65a0daf-f737-49c5-9424-d378d52104f5_records.csv,4,2026-05-27T16:09:42,Known official data.gov.il urban renewal resource,,,,,,,,,,,,,
6,4012.0,רעננה                                                                                                                                                                                                                                                          ,8700.0,ברנדיס                                                                                                                                                                                                                                                         ,39,81,136.0,19/01/2017,רע/1/511                                                                                                                                                                                                                                                       ,https://mavat.iplan.gov.il/SV4/1/4060866/310                                                                                                                                                                                                                   ,136,https://www.govmap.gov.il/map.html?lay=ADD_PROJECTS_UR_MUCHRAZ&bs=moch_projects|MISPARPROJECT~4012                                                                                                                                                             ,מיסוי                                                                                                                                                                                                                                                          ,2015                                                                                                                                                                                                                                                           ,לא                                                                                                                                                                                                                                                             ,תכנית מאושרת -  אחרי רישוי                                                                                                                                                                                                                                     ,data.gov.il - מתחמי התחדשות עירונית,https://data.gov.il/he/datasets/ministry_of_housing/urban_renewal/f65a0daf-f737-49c5-9424-d378d52104f5,government_open_data_resource,f65a0daf-f737-49c5-9424-d378d52104f5,data\raw\data_gov_f65a0daf-f737-49c5-9424-d378d52104f5_records.csv,5,2026-05-27T16:09:42,Known official data.gov.il urban renewal resource,,,,,,,,,,,,,
7,4017.0,תל אביב יפו                                                                                                                                                                                                                                                    ,5000.0,רקאנטי                                                                                                                                                                                                                                                         ,96,102,198.0,09/02/2012,תא/3850/מח                                                                                                                                                                                                                                                     ,https://mavat.iplan.gov.il/SV4/1/5075751/310                                                                                                                                                                                                                   ,198,https://www.govmap.gov.il/map.html?lay=ADD_PROJECTS_UR_MUCHRAZ&bs=moch_projects|MISPARPROJECT~4017                                                                                                                                                             ,מיסוי                                                                                                                                                                                                                                                          ,2012                                                                                                                                                                                                                                                           ,לא                                                                                                                                                                                                                                                             ,תכנית מאושרת -  אחרי רישוי                                                                                                                                                                                                                                     ,data.gov.il - מתחמי התחדשות עירונית,https://data.gov.il/he/datasets/ministry_of_housing/urban_renewal/f65a0daf-f737-49c5-9424-d378d52104f5,government_open_data_resource,f65a0daf-f737-49c5-9424-d378d52104f5,data\raw\data_gov_f65a0daf-f737-49c5-9424-d378d52104f5_records.csv,6,2026-05-27T16:09:42,Known official data.gov.il urban renewal resource,,,,,,,,,,,,,
8,4018.0,תל אביב יפו                                                                                                                                                                                                                                                    ,5000.0,טאגור                                                                                                                                                                                                                                                          ,60,84,144.0,09/02/2012,תא/3853/מח                                                                                                                                                                                                                                                     ,https://mavat.iplan.gov.il/SV4/1/5075936/310                                                                                                                                                                                                                   ,144,https://www.govmap.gov.il/map.html?lay=ADD_PROJECTS_UR_MUCHRAZ&bs=moch_projects|MISPARPROJECT~4018                                                                                                                                                             ,מיסוי                                                                                                                                                                                                                                                          ,2012                                                                                                                                                                                                                                                           ,לא                                                                                                                                                                                                                                                             ,תכנית מאושרת -  אחרי רישוי                                                                                                                                                                                                                                     ,data.gov.il - מתחמי התחדשות עירונית,https://data.gov.il/he/datasets/ministry_of_housing/urban_renewal/f65a0daf-f737-49c5-9424-d378d52104f5,government_open_data_resource,f65a0daf-f737-49c5-9424-d378d52104f5,data\raw\data_gov_f65a0daf-f737-49c5-9424-d378d52104f5_records.csv,7,2026-05-27T16:09:42,Known official data.gov.il urban renewal resource,,,,,,,,,,,,,
9,4024.0,תל אביב יפו                                                                                                                                                                                                                                                    ,5000.0,הדר יוסף - לודג'                                                                                                                                                                                                                                               ,193,0,288.0,26/05/2011,תא/מק/3569                                                                                                                                                                                                                                                     ,https://mavat.iplan.gov.il/SV4/1/5053862/310                                                                                                                                                                                                                   ,,https://www.govmap.gov.il/map.html?lay=ADD_PROJECTS_UR_MUCHRAZ&bs=moch_projects|MISPARPROJECT~4024                                                                                                                                                             ,מיסוי                                                                                                                                                                                                                                                          ,2006                                                                                                                                                                                                                                                           ,לא                                                                                                                                                                                                                                                             ,   תכנית מאושרת לפני מימוש                                                                                                                                                                                                                                     ,data.gov.il - מתחמי התחדשות עירונית,https://data.gov.il/he/datasets/ministry_of_housing/urban_renewal/f65a0daf-f737-49c5-9424-d378d52104f5,government_open_data_resource,f65a0daf-f737-49c5-9424-d378d52104f5,data\raw\data_gov_f65a0daf-f737-49c5-9424-d378d52104f5_records.csv,8,2026-05-27T16:09:42,Known official data.gov.il urban renewal resource,,,,,,,,,,,,,
10,4025.0,קרית מלאכי                                                                                                                                                                                                                                                     ,1034.0,בלוק 101                                                                                                                                                                                                                                                       ,40,45,195.0,06/04/2022,617-0379792                                                                                                                                                                                                                                                    ,https://mavat.iplan.gov.il/SV4/1/6000390577/310                                                                                                                                                                                                                ,195,https://www.govmap.gov.il/map.html?lay=ADD_PROJECTS_UR_MUCHRAZ&bs=moch_projects|MISPARPROJECT~4025                                                                                                                                                             ,מיסוי                                                                                                                                                                                                                                                          ,2019                                                                                                                                                                                                                                                           ,לא                                                                                                                                                                                                                                                             ,תכנית מאושרת -  אחרי רישוי                                                                                                                                                                                                                                     ,data.gov.il - מתחמי התחדשות עירונית,https://data.gov.il/he/datasets/ministry_of_housing/urban_renewal/f65a0daf-f737-49c5-9424-d378d52104f5,government_open_data_resource,f65a0daf-f737-49c5-9424-d378d52104f5,data\raw\data_gov_f65a0daf-f737-49c5-9424-d378d52104f5_records.csv,9,2026-05-27T16:09:42,Known official data.gov.il urban renewal resource,,,,,,,,,,,,,
11,4028.0,קרית אונו                                                                                                                                                                                                                                                      ,2620.0,שטרן                                                                                                                                                                                                                                                           ,72,6500,122.0,20/08/2006,,,122,https://www.govmap.gov.il/map.html?lay=ADD_PROJECTS_UR_MUCHRAZ&bs=moch_projects|MISPARPROJECT~4028                                                                                                                                                             ,מיסוי                                                                                                                                                                                                                                                          ,2017                                                                                                                                                                                                                                                           ,לא                                                                                                                                                                                                                                                             ,תכנית מאושרת -  אחרי רישוי                                                                                                                                                                                                                                     ,data.gov.il - מתחמי התחדשות עירונית,https://data.gov.il/he/datasets/ministry_of_housing/urban_renewal/f65a0daf-f737-49c5-9424-d378d52104f5,government_open_data_resource,f65a0daf-f737-49c5-9424-d378d52104f5,data\raw\data_gov_f65a0daf-f737-49c5-9424-d378d52104f5_records.csv,10,2026-05-27T16:09:42,Known official data.gov.il urban renewal resource,,,,,,,,,,,,,
12,4033.0,פתח תקוה                                                                                                                                                                                                                                                       ,7900.0,וולפסון                                                                                                                                                                                                                                                        ,24,132,172.0,19/01/2017,פת/1210/52/א                                                                                                                                                                                                                                                   ,https://mavat.iplan.gov.il/SV4/1/4099338/310                                                                                                                                                                                                                   ,172,https://www.govmap.gov.il/map.html?lay=ADD_PROJECTS_UR_MUCHRAZ&bs=moch_projects|MISPARPROJECT~4033                                                                                                                                                             ,מיסוי                                                                                                                                                                                                                                                          ,2011                                                                                                                                                                                                                                                           ,לא                                                                                                                                                                                                                                                             ,תכנית מאושרת -  אחרי רישוי                                                                                                                                                                                                                                     ,data.gov.il - מתחמי התחדשות עירונית,https://data.gov.il/he/datasets/ministry_of_housing/urban_renewal/f65a0daf-f737-49c5-9424-d378d52104f5,government_open_data_resource,f65a0daf-f737-49c5-9424-d378d52104f5,data\raw\data_gov_f65a0daf-f737-49c5-9424-d378d52104f5_records.csv,11,2026-05-27T16:09:42,Known official data.gov.il urban renewal resource,,,,,,,,,,,,,
13,4039.0,רחובות                                                                                                                                                                                                                                                         ,8400.0,כפר גבירול                                                                                                                                                                                                                                                     ,23,0,962.0,08/09/2010,רח/2001/8/ב                                                                                                                                                                                                                                                    ,https://mavat.iplan.gov.il/SV4/1/4065751/310                                                                                                                                                                                                                   ,685,https://www.govmap.gov.il/map.html?lay=ADD_PROJECTS_UR_MUCHRAZ&bs=moch_projects|MISPARPROJECT~4039                                                                                                                                                             ,מיסוי                                                                                                                                                                                                                                                          ,2008                                                                                                                                                                                                                                                           ,כן                                                                                                                                                                                                                                                             ,תכנית מאושרת במימוש                                                                                                                                                                                                                                            ,data.gov.il - מתחמי התחדשות עירונית,https://data.gov.il/he/datasets/ministry_of_housing/urban_renewal/f65a0daf-f737-49c5-9424-d378d52104f5,government_open_data_resource,f65a0daf-f737-49c5-9424-d378d52104f5,data\raw\data_gov_f65a0daf-f737-49c5-9424-d378d52104f5_records.csv,12,2026-05-27T16:09:42,Known official data.gov.il urban renewal resource,,,,,,,,,,,,,
14,4046.0,אזור                                                                                                                                                                                                                                                           ,565.0,קפלן                                                                                                                                                                                                                                                           ,96,150,390.0,31/07/2015,מאא/234                                                                                                                                                                                                                                                        ,https://mavat.iplan.gov.il/SV4/1/5073412/310                                                                                                                                                                                                                   ,280,https://www.govmap.gov.il/map.html?lay=ADD_PROJECTS_UR_MUCHRAZ&bs=moch_projects|MISPARPROJECT~4046                                                                                                                                                             ,מיסוי                                                                                                                                                                                                                                                          ,2009                                                                                                                                                                                                                                                           ,כן                                                                                                                                                                                                                                                             ,תכנית מאושרת במימוש                                                                                                                                                                                                                                            ,data.gov.il - מתחמי התחדשות עירונית,https://data.gov.il/he/datasets/ministry_of_housing/urban_renewal/f65a0daf-f737-49c5-9424-d378d52104f5,government_open_data_resource,f65a0daf-f737-49c5-9424-d378d52104f5,data\raw\data_gov_f65a0daf-f737-49c5-9424-d378d52104f5_records.csv,13,2026-05-27T16:09:42,Known official data.gov.il urban renewal resource,,,,,,,,,,,,,
