city,num_records,avg_project_momentum_score,median_project_momentum_score,num_very_high_momentum,num_high_momentum,num_moderate_momentum,num_low_momentum,avg_ml_advancement_score,num_advanced_public_status,num_plan_approved,num_permit_approved,num_construction,num_with_plan_number,num_with_mavat_url,num_with_quality_issues,total_existing_units,total_proposed_units
אבן יהודה,2,64.5,64.5,0,2,0,0,33.75,0,0,0,0,2,2,0,216.0,684.0
אור יהודה,9,81.48888888888888,81.0,6,3,0,0,62.91111111111112,7,4,1,2,9,8,0,3057.0,10991.0
אור עקיבא,1,83.5,83.5,1,0,0,0,79.3,1,1,0,0,1,1,0,350.0,1750.0
אזור,5,77.66,82.5,3,2,0,0,49.7,3,2,0,1,5,5,0,1405.0,4406.0
אילת,6,64.25,64.5,0,6,0,0,32.166666666666664,0,0,0,0,6,6,0,810.0,2340.0
אריאל,1,54.0,54.0,0,0,1,0,38.7,0,0,0,0,0,0,0,378.0,3154.0
אשדוד,17,79.26470588235294,81.0,11,5,1,0,55.747058823529414,12,8,2,2,16,16,0,3323.0,16057.0
אשקלון,10,73.5,73.5,4,5,1,0,40.9,5,5,0,0,10,9,0,2381.0,12854.0
באר יעקב,3,71.16666666666667,67.0,1,2,0,0,49.333333333333336,1,1,0,0,3,3,0,1253.0,11625.0
באר שבע,13,70.0,66.0,4,7,2,0,46.17692307692308,4,3,1,0,12,12,0,1882.0,13267.0
בית דגן,1,63.0,63.0,0,1,0,0,23.1,0,0,0,0,1,1,0,65.0,233.0
בית שאן,3,69.0,64.5,0,3,0,0,29.26666666666667,1,1,0,0,3,3,0,367.0,1028.0
בית שמש,7,80.52857142857144,83.5,4,3,0,0,59.0,4,1,2,1,7,7,0,1832.0,11335.0
בני ברק,3,82.83333333333333,79.5,1,2,0,0,86.16666666666667,3,2,1,0,3,3,0,256.0,551.0
בנימינה גבעת עדה,1,80.0,80.0,0,1,0,0,82.8,1,1,0,0,1,1,0,384.0,574.0
בת ים,37,83.35945945945946,83.5,29,8,0,0,70.57027027027027,30,12,17,1,37,37,0,7377.0,25816.0
גבעת שמואל,4,86.125,86.5,3,1,0,0,76.05,4,2,2,0,4,4,0,734.0,1955.0
גבעתים,24,69.91666666666667,64.5,4,15,4,1,44.80416666666667,10,6,2,2,22,20,1,6958.0,18161.0
גדרה,3,66.16666666666667,66.0,0,2,1,0,19.999999999999996,1,1,0,0,2,2,0,628.0,1957.0
הוד השרון,6,70.16666666666667,68.0,1,5,0,0,56.56666666666666,3,3,0,0,6,5,0,354.0,1183.0
הרצליה,24,72.54166666666667,70.0,7,14,3,0,58.70416666666667,12,9,1,2,23,21,0,4011.0,13265.0
זכרון יעקב,1,90.5,90.5,1,0,0,0,86.6,1,0,1,0,1,1,0,61.0,128.0
חדרה,21,78.46190476190476,81.0,13,6,2,0,57.457142857142856,14,7,6,1,19,19,0,2752.0,16663.0
חולון,25,76.0,79.5,12,10,3,0,53.896,17,11,6,0,22,20,0,5106.0,16252.0
חיפה,43,75.28837209302326,79.5,17,24,2,0,50.15348837209302,22,11,9,2,42,42,0,4923.0,20963.0
חצור הגלילית,3,64.5,64.5,0,3,0,0,24.7,0,0,0,0,3,3,0,385.0,1500.0
טבריה,4,62.375,66.0,0,3,1,0,25.55,0,0,0,0,3,3,0,632.0,4203.0
טירה,1,64.5,64.5,0,1,0,0,20.0,0,0,0,0,1,1,0,120.0,300.0
טירת כרמל,14,72.92857142857143,72.5,4,10,0,0,45.25714285714286,7,7,0,0,14,14,0,2036.0,9728.0
יבנה,15,79.01333333333334,81.0,8,4,3,0,52.96,10,4,3,3,15,12,0,2032.0,8308.0
יהוד,11,86.49090909090908,90.5,9,2,0,0,68.89999999999999,10,4,4,2,11,11,0,1840.0,8323.0
יקנעם עילית,4,62.75,58.0,1,1,2,0,16.225,1,1,0,0,2,2,0,736.0,3311.0
ירושלים,197,75.35736040609137,79.5,69,127,1,0,55.226395939086295,110,67,35,8,197,196,0,16406.0,69079.0
כפר יונה,1,82.5,82.5,1,0,0,0,72.4,1,1,0,0,1,1,0,270.0,850.0
כפר סבא,12,77.26666666666667,79.5,5,7,0,0,49.949999999999996,8,6,1,1,12,12,0,2410.0,8795.0
כפר קאסם,1,66.0,66.0,0,1,0,0,12.7,0,0,0,0,1,1,0,400.0,1200.0
כרמיאל,2,60.5,60.5,0,1,1,0,7.3,0,0,0,0,1,1,0,2030.0,8100.0
לוד,13,86.08461538461538,83.5,12,1,0,0,61.392307692307696,12,7,2,3,13,13,0,6166.0,33174.0
מבשרת ציון,2,63.75,63.75,0,2,0,0,25.0,0,0,0,0,2,2,0,219.0,849.0
מגדל העמק,6,66.75,64.5,0,6,0,0,34.25,1,1,0,0,6,6,0,592.0,2606.0
מזכרת בתיה,1,82.5,82.5,1,0,0,0,61.1,1,1,0,0,1,1,0,209.0,1144.0
מעלה אדומים,1,76.0,76.0,0,1,0,0,73.2,1,1,0,0,1,0,0,147.0,750.0
נהריה,13,67.72307692307692,66.0,3,6,4,0,36.00769230769231,3,0,1,2,9,9,0,2420.0,14524.0
נוף הגליל,2,74.25,74.25,1,1,0,0,39.45,1,1,0,0,2,2,0,361.0,1728.0
נס ציונה,9,76.91111111111111,81.0,5,4,0,0,58.08888888888888,6,4,1,1,9,8,0,1000.0,3978.0
נצרת,1,66.0,66.0,0,1,0,0,11.7,0,0,0,0,1,1,0,300.0,900.0
נשר,4,66.625,67.0,1,2,1,0,29.775,1,1,0,0,3,3,0,776.0,4863.0
נתיבות,1,67.0,67.0,0,1,0,0,60.6,0,0,0,0,1,1,0,116.0,4350.0
נתניה,40,80.5,81.0,21,18,1,0,67.0375,33,17,14,2,39,32,0,4235.0,16426.0
סחנין,1,58.0,58.0,0,0,1,0,12.6,0,0,0,0,1,0,0,118.0,456.0
עכו,3,65.83333333333333,66.0,0,3,0,0,14.566666666666665,0,0,0,0,3,3,0,1156.0,5780.0
עתלית,1,82.5,82.5,1,0,0,0,9.6,1,1,0,0,1,1,0,242.0,867.0
פרדס חנה כרכור,3,74.5,79.5,0,3,0,0,37.199999999999996,2,2,0,0,3,3,0,236.0,696.0
פתח תקוה,37,78.14594594594595,81.0,19,17,1,0,59.4081081081081,24,13,9,2,36,36,0,8225.0,29312.0
צורן קדימה,2,71.75,71.75,1,0,1,0,48.1,1,0,1,0,1,1,0,526.0,1574.0
צפת,5,64.5,64.5,0,5,0,0,21.62,0,0,0,0,5,5,0,723.0,2370.0
קרית אונו,17,88.48823529411764,90.5,15,2,0,0,83.12352941176471,16,1,14,1,16,16,0,2318.0,6400.0
קרית אתא,1,79.5,79.5,0,1,0,0,87.7,1,1,0,0,1,1,0,28.0,168.0
קרית ביאליק,4,62.5,64.5,0,3,1,0,16.05,0,0,0,0,3,3,0,962.0,5320.0
קרית גת,8,77.275,80.25,4,3,1,0,46.9,5,3,1,1,7,7,0,1841.0,9955.0
קרית טבעון,1,66.0,66.0,0,1,0,0,67.5,0,0,0,0,1,1,0,420.0,1248.0
קרית ים,11,73.62727272727273,66.0,5,4,2,0,40.981818181818184,5,3,0,2,9,9,0,3070.0,15237.0
קרית מוצקין,1,81.0,81.0,1,0,0,0,87.6,1,1,0,0,1,1,0,88.0,449.0
קרית מלאכי,4,76.125,74.0,2,2,0,0,26.25,2,1,1,0,4,4,0,578.0,3280.0
קרית עקרון,4,72.375,72.0,1,3,0,0,52.9,2,2,0,0,4,4,0,373.0,1232.0
קרית שמונה,7,66.85714285714286,66.0,0,7,0,0,22.985714285714288,1,1,0,0,7,7,0,1191.0,3899.0
ראשון לציון,19,70.95263157894736,66.0,3,12,4,0,43.58421052631579,8,5,0,3,16,16,0,3231.0,10223.0
רחובות,14,76.20714285714287,73.25,5,9,0,0,48.885714285714286,7,4,1,2,14,14,0,4394.0,15722.0
רמלה,15,72.18,79.5,7,4,4,0,37.84666666666667,8,7,0,1,11,11,0,6690.0,24967.0
רמת גן,76,73.65131578947368,78.0,19,56,0,1,55.022368421052626,43,29,14,0,76,75,1,5371.0,17703.0
רמת השרון,8,86.3125,90.5,6,2,0,0,73.2875,7,2,3,2,8,8,0,949.0,4141.0
